,Mean Coeff,σ Coeff
rh_S_intrapariet_and_P_trans,-0.12261984742696419,0.19541826215996064
rh_S_orbital_med-olfact,-0.12252297607290355,0.18612342402502619
lh_S_front_sup,-0.11367087675123913,0.1774027680708799
rh_S_precentral-inf-part,0.11172610559198148,0.13222470290111982
rh_G_oc-temp_med-Parahip,0.11170194927802649,0.14638692725066563
lh_G_precuneus,0.11012821553493199,0.11005622999305381
rh_G_parietal_sup,0.10847648900902108,0.12812082770010047
lh_G_occipital_middle,-0.10506014893876897,0.12095507832640556
lh_G_and_S_transv_frontopol,0.1000442873945844,0.1257333969156242
lh_G_front_inf-Opercular,-0.09985452577623065,0.10744150908586565
rh_G_and_S_subcentral,0.09985165551593966,0.13350211788753275
lh_G_front_inf-Orbital,0.09967315890973785,0.1527120553291203
lh_G_temp_sup-Lateral,-0.09941941952536523,0.09522340694692318
lh_G_temporal_middle,0.09551344466515721,0.11648602252380119
rh_S_calcarine,0.09528025763252049,0.08632879269027774
rh_G_temporal_inf,0.09199368490079704,0.12301729909584443
lh_G_postcentral,-0.09041086746110126,0.15223735823897944
lh_G_pariet_inf-Angular,0.08760238660723771,0.14127125631846282
rh_G_front_sup,0.07772059813366132,0.07492173905863825
lh_Lat_Fis-ant-Vertical,-0.07743004821895769,0.1027092534908907
lh_S_interm_prim-Jensen,0.07373550189126027,0.14622077562217878
rh_S_parieto_occipital,0.0728224475860513,0.07642804699300138
rh_S_interm_prim-Jensen,0.0704431615336614,0.15361869574595266
rh_G_occipital_sup,0.07007820099815612,0.19792338144120855
lh_G_pariet_inf-Supramar,0.06999411452856526,0.10959673897763982
lh_S_postcentral,0.0698678644423394,0.10835352381527509
lh_Lat_Fis-ant-Horizont,0.0681281050463296,0.10317348705201586
rh_G_oc-temp_lat-fusifor,-0.06792404206169839,0.09546396211166022
lh_S_orbital_med-olfact,-0.06680217391651899,0.1470577529951071
rh_Lat_Fis-post,-0.06646712524990196,0.08329606272018016
lh_S_precentral-sup-part,-0.06462835699845522,0.14564542331795446
rh_G_front_inf-Triangul,-0.06427368337570655,0.132221601399081
lh_G_front_middle,0.06358364628040913,0.09551457984777814
rh_G_pariet_inf-Angular,0.06078595113613997,0.16643460779124444
rh_G_precuneus,0.06060436881896096,0.07019278309268653
rh_G_and_S_frontomargin,0.058402789098815425,0.11099557900320535
lh_S_front_inf,0.05767082851837856,0.08869896995041476
rh_S_front_sup,0.05700843944805738,0.09995862066824207
lh_S_oc_sup_and_transversal,0.055514865104372715,0.07255618755064719
lh_G_and_S_cingul-Ant,0.054688506817444416,0.06200534411099184
lh_G_temp_sup-Plan_tempo,0.053684397549362106,0.12821515419292062
rh_G_cingul-Post-ventral,-0.05250021497992939,0.09918852567459738
lh_S_orbital_lateral,-0.05119256052908989,0.09325447788862545
rh_G_temp_sup-Plan_tempo,-0.05094575845211067,0.09847925992715252
lh_S_intrapariet_and_P_trans,0.050670976169440975,0.07535462032147835
lh_G_and_S_subcentral,0.04706540891373879,0.03559042365189478
lh_Lat_Fis-post,0.0468826359401492,0.11791409933973236
lh_G_orbital,0.04674473862879637,0.061347908059798416
rh_S_postcentral,0.045329280297635305,0.05752276795194284
rh_G_postcentral,0.04532356685463809,0.09305539699870649
rh_S_pericallosal,0.04142056396364185,0.13676365153146422
lh_S_oc_middle_and_Lunatus,0.041334128246618994,0.0936295239157931
lh_G_insular_short,0.040736456981720764,0.0996353729993486
lh_G_subcallosal,0.04066772809942995,0.06816570656961615
rh_S_occipital_ant,0.0375217405182189,0.0534008566116924
rh_S_suborbital,0.03593112189123479,0.0710158042502263
lh_G_front_inf-Triangul,0.035493687044505264,0.059682271081714144
rh_S_temporal_sup,-0.033842038019153114,0.049487194173586754
lh_G_parietal_sup,0.032990049283219226,0.041731997700611
rh_S_front_inf,-0.030287495877233624,0.053003745959684184
rh_S_front_middle,-0.028122027497836613,0.08129068876645897
lh_G_cingul-Post-ventral,-0.02715961445120563,0.12333919452781682
rh_S_collat_transv_post,0.026236646045406948,0.06676411372710013
rh_S_orbital_lateral,-0.024302923133527565,0.06545637202040042
rh_S_oc-temp_lat,-0.023986260388592313,0.07759646441440698
lh_S_orbital-H_Shaped,0.02374199525840066,0.04651242605965762
rh_S_circular_insula_sup,0.022301130356136352,0.05406722894508427
lh_G_oc-temp_med-Lingual,-0.02211445809753701,0.06051073401918453
lh_S_collat_transv_post,0.021427060007534693,0.11010999198296523
lh_G_oc-temp_lat-fusifor,0.02130357856599312,0.09550844757788383
lh_G_front_sup,0.021076991063961752,0.04689310645813136
rh_S_circular_insula_ant,0.020676895372150665,0.07352926234020081
rh_S_oc-temp_med_and_Lingual,-0.01994033372424125,0.08079387099111422
lh_S_circular_insula_inf,-0.01971741823693098,0.05937577156255034
rh_Lat_Fis-ant-Horizont,-0.019304099818753126,0.06674086113749211
rh_S_subparietal,-0.01870862990604249,0.18619179372867078
rh_S_oc_sup_and_transversal,-0.018612183458083603,0.06636816135780199
lh_S_occipital_ant,-0.01804967703344479,0.03770014229683817
rh_S_orbital-H_Shaped,0.013447321810963675,0.05621720527227982
rh_G_front_inf-Opercular,-0.013424965792745349,0.13868110282967228
lh_Pole_occipital,-0.013170681962138876,0.06866988138945294
rh_S_cingul-Marginalis,0.011294162094036726,0.0564020749481653
rh_G_pariet_inf-Supramar,-0.011149462644141062,0.0686241474910122
rh_S_precentral-sup-part,-0.011068734701639537,0.11449776511488398
lh_G_oc-temp_med-Parahip,0.010523733137043599,0.0376116404807331
rh_G_Ins_lg_and_S_cent_ins,-0.01009466728150901,0.060948054344180984
lh_G_and_S_occipital_inf,-0.007998469668477212,0.08805373896814611
