,Mean Coeff,σ Coeff
lh_G_parietal_sup,-0.5419484100482296,0.31425768687460376
lh_G_front_middle,-0.39541262350192563,0.2427315316799789
lh_G_temp_sup-G_T_transv,0.3620758218128499,0.20169835407023867
rh_G_front_inf-Opercular,-0.2589928190419437,0.1962813893885652
rh_S_central,0.25053434890431964,0.26191462638126417
rh_S_parieto_occipital,0.21389333483243045,0.22781550354330865
lh_Pole_occipital,0.2097085669699198,0.15287070516090784
rh_G_and_S_transv_frontopol,-0.20359442912189785,0.2124981549926471
lh_S_circular_insula_ant,0.19468430956055743,0.23010020615188057
rh_Lat_Fis-ant-Vertical,-0.19092766687413112,0.17535753092603762
lh_G_oc-temp_med-Lingual,0.1875407239047521,0.18066370535513376
rh_G_cuneus,0.18036414800538428,0.15188104622611467
lh_S_central,0.17952083420216453,0.1863939176439702
rh_G_and_S_cingul-Mid-Post,0.17794985063158023,0.21019030335140626
rh_G_temp_sup-Lateral,-0.17138814601527563,0.12455222494462796
lh_S_cingul-Marginalis,-0.1667457125375944,0.1333760212280724
rh_S_temporal_transverse,0.16305844513948153,0.11928407438194052
rh_G_and_S_cingul-Ant,-0.1630469639958938,0.15346415836618063
rh_G_subcallosal,-0.15495588143411043,0.1919563769343645
rh_G_pariet_inf-Supramar,-0.15388077381950419,0.1596223841224494
rh_G_front_inf-Orbital,0.14566448532580667,0.24413273392788168
lh_S_orbital_lateral,0.14180324843431769,0.15906470847129273
lh_G_and_S_cingul-Ant,-0.13598810088522456,0.1342635714803057
rh_S_collat_transv_ant,-0.13528957430001173,0.20026424507640717
lh_G_and_S_paracentral,0.13524370193109586,0.16675889250363587
rh_G_front_inf-Triangul,-0.10783725105277098,0.13548490741458263
rh_S_circular_insula_ant,0.10771446638391786,0.1595410789396747
lh_G_pariet_inf-Angular,-0.10669844777818442,0.13948780958507132
lh_G_front_sup,-0.10601083041923852,0.13177542659618607
rh_G_oc-temp_med-Lingual,0.10558036145470917,0.1463479790533065
lh_S_temporal_transverse,-0.10349173477728477,0.14260973322470816
lh_G_precuneus,-0.10259260672888118,0.10226951618067891
lh_Lat_Fis-post,0.09904723433245208,0.09668009130237945
lh_Lat_Fis-ant-Horizont,-0.09784193436965313,0.1359193305292463
lh_G_subcallosal,-0.09439379048489152,0.10330325440938422
rh_S_circular_insula_inf,0.09173426581390731,0.10548389510649882
rh_S_calcarine,0.08923595994824636,0.09408827652472256
lh_S_oc_sup_and_transversal,0.08619693482079036,0.12182925836083097
lh_G_and_S_cingul-Mid-Ant,-0.08582825416967119,0.10397027431536879
rh_S_front_inf,-0.08501643352842438,0.08805648426084638
rh_G_insular_short,0.08447719035085346,0.13674401004098466
lh_G_temp_sup-Plan_polar,0.08071406762470244,0.09584818327350914
lh_G_and_S_occipital_inf,0.07842435405556276,0.11776031250233815
rh_G_front_middle,-0.0771825718962675,0.088196440174976
lh_Lat_Fis-ant-Vertical,-0.07638335874343355,0.11979493787791394
rh_Lat_Fis-ant-Horizont,0.07440184696197324,0.1317867514027334
lh_G_occipital_sup,-0.07300072130373592,0.09839511418757169
lh_S_oc-temp_med_and_Lingual,0.07239931701642364,0.09018879286282429
rh_S_interm_prim-Jensen,-0.07137653881156315,0.12271263075898008
rh_Lat_Fis-post,0.06786114733684213,0.10241761773942062
rh_Pole_occipital,0.06712833799365418,0.10021406363980756
lh_S_front_sup,-0.0646104864930596,0.0856953234799707
rh_G_cingul-Post-ventral,0.06450671110428552,0.10331101076710596
rh_S_occipital_ant,0.06313891478954166,0.10287969233784261
lh_S_parieto_occipital,0.06295746026141824,0.08963162161784341
rh_S_front_sup,-0.06257430775874716,0.09917271724740953
lh_S_collat_transv_ant,-0.06182519840311662,0.07906012842945313
rh_G_Ins_lg_and_S_cent_ins,-0.06025064452409763,0.11747209582153162
