,Mean Coeff,σ Coeff
R_1_ROI-L_47l_ROI,-0.06132377870074194,0.0759785796242386
R_FOP2_ROI-L_23d_ROI,-0.060850103330988566,0.07951498924021258
R_TE1a_ROI-L_POS1_ROI,-0.060516195772721645,0.10247689720253345
L_a24pr_ROI-L_46_ROI,-0.060333793023678965,0.06337011299737723
R_MI_ROI-R_AVI_ROI,0.059481852253721004,0.10260077361525319
R_STSvp_ROI-L_a24pr_ROI,-0.05946734445961576,0.06444987616114978
R_AAIC_ROI-L_s32_ROI,0.059277173384791174,0.05330632113172472
L_24dv_ROI-L_a10p_ROI,-0.05923269044220163,0.07405123929099845
L_p32pr_ROI-L_FOP1_ROI,0.059121501618299634,0.06451986201520665
L_a47r_ROI-L_FOP5_ROI,0.05858098929586648,0.06379576882132014
R_47l_ROI-R_FOP5_ROI,0.05849365605515374,0.10445384177367685
R_IFSp_ROI-R_FOP5_ROI,-0.05833030560574878,0.10060516888247577
R_IFJa_ROI-R_OFC_ROI,-0.057776121985338276,0.07634904858007585
R_47s_ROI-R_STGa_ROI,0.05738619629917335,0.0808872356610444
L_9m_ROI-L_Pir_ROI,-0.05733042062930493,0.08352652840607927
R_STSda_ROI-L_RI_ROI,0.05689102490941407,0.06127818751173784
R_a47r_ROI-R_FOP4_ROI,0.056693346245644524,0.11605776619477814
R_TGv_ROI-L_A5_ROI,-0.056124184853520886,0.06026231019660155
R_6v_ROI-R_s32_ROI,-0.05610075932639144,0.09399120699050222
R_TE2p_ROI-L_TPOJ1_ROI,-0.055219464716516356,0.07886462736070746
R_TE2p_ROI-R_p10p_ROI,0.05511917667008776,0.05492800223416788
R_TE1m_ROI-L_PHA2_ROI,-0.055038122714970134,0.0973288205630776
R_3a_ROI-AMYGDALA_LEFT,-0.05480218755000416,0.05711724332830156
L_i6-8_ROI-L_s32_ROI,-0.0546532830370599,0.032672151239663036
R_AAIC_ROI-L_LIPd_ROI,0.05463168411626699,0.05541234958844926
L_47m_ROI-L_FOP1_ROI,0.0542446231499832,0.06434668146863035
R_PFt_ROI-L_23c_ROI,-0.053941204483689026,0.0773917635027507
R_s32_ROI-L_FOP4_ROI,0.05386523495067676,0.060459973036621144
L_7AL_ROI-L_7PL_ROI,0.05384279643750287,0.10633234332078174
R_PFop_ROI-L_TE1a_ROI,-0.05373936212038969,0.07097878875930816
R_p24pr_ROI-L_IFJa_ROI,-0.053643535200633696,0.13360593957256106
L_13l_ROI-L_ProS_ROI,-0.05357625729717383,0.04784856020487192
L_7Pm_ROI-L_pOFC_ROI,-0.05307970012509866,0.09052720075341811
R_OP4_ROI-L_Ig_ROI,0.05180777334838549,0.04790756460622585
L_p24pr_ROI-L_FOP5_ROI,0.0516630902221438,0.06354108103450179
